product_name,price,quantity,order_date,supplier,category
Wireless Headphones,5500,20,15/01/2026,SoundZone,Electronics
Bluetooth Speaker,3200,35,15-01-2026,SoundZone,Electronics
Earbuds Pro,2800,45,January 15 2026,SoundZone,Electronics
Microphone USB,4500,12,01/16/2026,SoundZone,Electronics
Audio Interface,8900,6,16-Jan-2026,SoundZone,Electronics
Studio Monitors,15000,4,2026.01.17,SoundZone,Electronics
Pop Filter,800,25,17/01/2026,SoundZone,Accessories
Mic Stand,1200,18,2026-01-17,SoundZone,Accessories
XLR Cable 3m,600,40,Jan 18 2026,SoundZone,Accessories
Headphone Amp,6500,8,18-01-2026,SoundZone,Electronics
